Question,Answer
Linus Torvalds created Linux and Git.,Yes
RAM stands for Random Access Memory.,Yes
Ada Lovelace is often considered the first computer programmer.,Yes
'HTML' stands for Hypertext Markup Language.,Yes
In most programming languages the operator ++ is equivalent to the statement '+= 1'.,Yes
Time on Computers is measured via the EPOX System.,No
The Windows ME operating system was released in the year 2000.,Yes
The NVidia GTX 1080 gets its name because it can only render at a 1920x1080 screen resolution.,No
Linux was first created as an alternative to Windows XP.,No
The Python programming language gets its name from the British comedy group 'Monty Python.',Yes